race_ethnicity,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex
Black - Non-Hispanic,30,C Felony,Violent,Robbery,Parole,7JD,Yes,Yes,Male
White - Non-Hispanic,30,D Felony,Property,Theft,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,40,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
White - Non-Hispanic,30,B Felony,Other,Other Criminal,Parole,6JD,No,Yes,Male
Black - Non-Hispanic,40,D Felony,Violent,Assault,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,30,C Felony,Drug,Trafficking,Parole,4JD,No,Yes,Male
White - Non-Hispanic,30,C Felony,Drug,Trafficking,Parole,4JD,No,Yes,Male
Black - Non-Hispanic,40,D Felony,Public Order,OWI,Parole,6JD,Yes,Yes,Male
White - Non-Hispanic,30,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,No,Yes,Male
Black - Non-Hispanic,30,C Felony,Violent,Other Violent,Parole,1JD,Yes,Yes,Male
White - Non-Hispanic,30,C Felony,Drug,Trafficking,Parole,3JD,Yes,Yes,Male
White - Non-Hispanic,30,C Felony,Drug,Trafficking,Parole,1JD,Yes,Yes,Male
Black - Non-Hispanic,40,D Felony,Drug,Drug Possession,Parole,8JD,Yes,Yes,Male
White - Non-Hispanic,50,D Felony,Drug,Other Drug,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,50,D Felony,Drug,Other Drug,Discharged – End of Sentence,missing,No,No,Male
Black - Non-Hispanic,20,C Felony,Property,Burglary,Parole,1JD,No,Yes,Male
White - Non-Hispanic,20,D Felony,Public Order,OWI,Discharged – End of Sentence,missing,Yes,No,Male
White - Non-Hispanic,40,D Felony,Property,Theft,Parole,7JD,Yes,Yes,Female
Black - Non-Hispanic,30,C Felony,Violent,Sex,Discharged – End of Sentence,missing,No,No,Female
Black - Non-Hispanic,30,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,missing,No,No,Male
Black - Non-Hispanic,30,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,40,D Felony,Violent,Assault,Parole,6JD,No,Yes,Male
White - Non-Hispanic,40,D Felony,Violent,Assault,Parole,6JD,No,Yes,Male
Black - Non-Hispanic,20,D Felony,Drug,Trafficking,Discharged – End of Sentence,missing,No,No,Male
Black - Non-Hispanic,20,D Felony,Drug,Trafficking,Discharged – End of Sentence,missing,No,No,Male
Black - Non-Hispanic,20,D Felony,Drug,Trafficking,Discharged – End of Sentence,missing,No,No,Male
Black - Non-Hispanic,20,D Felony,Drug,Trafficking,Discharged – End of Sentence,missing,No,No,Male
White - Non-Hispanic,20,D Felony,Drug,Trafficking,Parole,6JD,Yes,Yes,Male
Black - Non-Hispanic,20,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,1JD,No,Yes,Female
White - Non-Hispanic,50,Aggravated Misdemeanor,Property,Theft,Parole,2JD,No,Yes,Male
American Indian or Alaska Native - Non-Hispanic,30,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male
White - Non-Hispanic,30,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
White - Non-Hispanic,30,Felony - Enhanced,Property,Theft,Parole,8JD,Yes,Yes,Male
White - Non-Hispanic,20,D Felony,Property,Theft,Parole,5JD,Yes,Yes,Male
White - Hispanic,30,B Felony,Drug,Trafficking,Discharged – End of Sentence,missing,No,No,Male
White - Hispanic,30,B Felony,Drug,Trafficking,Discharged – End of Sentence,missing,No,No,Male
White - Hispanic,30,B Felony,Drug,Trafficking,Discharged – End of Sentence,missing,No,No,Male
White - Hispanic,30,B Felony,Drug,Trafficking,Discharged – End of Sentence,missing,No,No,Male
White - Hispanic,30,B Felony,Drug,Trafficking,Discharged – End of Sentence,missing,No,No,Male
