yr_released,race_ethnicity,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex
2010,Black - Non-Hispanic,25-34,C Felony,Violent,Robbery,Parole,7JD,Yes,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,No,Male
2010,White - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
2010,White - Non-Hispanic,25-34,B Felony,Other,Other Criminal,Parole,6JD,No,Yes,Male
2010,Black - Non-Hispanic,35-44,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,4JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,4JD,No,Yes,Male
2010,Black - Non-Hispanic,35-44,D Felony,Public Order,OWI,Parole,6JD,Yes,Yes,Male
2010,White - Non-Hispanic,25-34,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,No,Yes,Male
2010,Black - Non-Hispanic,25-34,C Felony,Violent,Other Violent,Parole,1JD,Yes,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,3JD,Yes,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,1JD,Yes,Yes,Male
2010,Black - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,8JD,Yes,Yes,Male
2010,White - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,Under 25,C Felony,Property,Burglary,Parole,1JD,No,Yes,Male
2010,White - Non-Hispanic,Under 25,D Felony,Public Order,OWI,Discharged – End of Sentence,,Yes,No,Male
2010,White - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,7JD,Yes,Yes,Female
2010,Black - Non-Hispanic,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,,No,No,Female
2010,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,6JD,No,Yes,Male
2010,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,6JD,No,Yes,Male
2010,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,6JD,Yes,Yes,Male
2010,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,1JD,No,Yes,Female
2010,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Theft,Parole,2JD,No,Yes,Male
2010,American Indian or Alaska Native - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male
2010,White - Non-Hispanic,25-34,Felony - Enhanced,Property,Theft,Parole,8JD,Yes,Yes,Male
2010,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,5JD,Yes,Yes,Male
2010,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Hispanic,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male
2010,Black - Non-Hispanic,25-34,C Felony,Property,Burglary,Parole,7JD,Yes,Yes,Male
2010,Black - Non-Hispanic,35-44,D Felony,Property,Burglary,Parole,6JD,No,Yes,Male
2010,White - Non-Hispanic,55 and Older,C Felony,Property,Theft,Parole,1JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Parole,8JD,No,Yes,Male
2010,Black - Non-Hispanic,55 and Older,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,4JD,Yes,Yes,Male
2010,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Parole,2JD,No,Yes,Male
2010,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Parole,2JD,No,Yes,Male
2010,White - Hispanic,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,45-54,Felony - Enhanced,Drug,Trafficking,Parole,7JD,Yes,Yes,Female
2010,American Indian or Alaska Native - Non-Hispanic,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,No,Male
2010,American Indian or Alaska Native - Non-Hispanic,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,No,Female
2010,White - Non-Hispanic,Under 25,C Felony,Property,Burglary,Parole,6JD,Yes,Yes,Male
2010,White - Non-Hispanic,25-34,C Felony,Violent,Robbery,Parole,4JD,Yes,Yes,Male
2010,Black - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male
2010,Black - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,Felony - Enhanced,Property,Theft,Parole,2JD,Yes,No,Male
2010,American Indian or Alaska Native - Hispanic,35-44,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,Yes,Female
2010,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,Yes,Female
2010,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,Yes,Female
2010,White - Non-Hispanic,25-34,B Felony,Other,Other Criminal,Parole,4JD,Yes,Yes,Female
2010,Black - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,1JD,Yes,Yes,Male
2010,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male
2010,Asian or Pacific Islander - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Vandalism,Discharged – End of Sentence,,No,No,Male
2010,Black - Non-Hispanic,55 and Older,C Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male
2010,White - Hispanic,35-44,C Felony,Violent,Robbery,Parole,8JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male
2010,White - Non-Hispanic,55 and Older,B Felony,Violent,Sex,Discharged – End of Sentence,,No,No,Female
2010,White - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,4JD,No,Yes,Female
2010,White - Non-Hispanic,Under 25,C Felony,Drug,Other Drug,Parole,1JD,No,Yes,Male
2010,Black - Non-Hispanic,35-44,D Felony,Violent,Other Violent,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,45-54,D Felony,Public Order,Weapons,Parole,1JD,No,Yes,Male
2010,White - Non-Hispanic,35-44,D Felony,Violent,Assault,Parole,1JD,No,Yes,Male
2010,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
2010,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male
